,Arm_ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
26310,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,1,3.5411629676818848,True,0.335,"[[ 0.00000000e+00 -6.00551939e-03  9.30553080e-01 -1.33981677e-02
   1.13507876e-01]
 [ 1.00000000e+00  9.96313597e-01  3.66157022e-01  3.40501628e-02
  -2.88469420e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89669416e-12 -3.59218765e-01
   1.16432920e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.30553080e-01
   9.30553080e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.66157022e-01
   3.66157022e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00 -2.19893862e-17
   0.00000000e+00]]","[ 8.49986715e-07 -1.19592046e+00  3.14321650e-01  2.33668564e+00
 -2.34044155e+00  1.20066000e+00]",0.0,[0.125 0.018 0.008 0.069 0.069],0.069,0.14600000000000002,0.28900000000000003
26311,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,2,1.7352478504180908,True,0.408,"[[ 0.00000000e+00  3.55892329e-01  9.98127664e-01  1.36608038e-03
   1.89605847e-02]
 [ 1.00000000e+00  8.38687178e-01  6.11650751e-02 -2.22925030e-02
  -3.09409970e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89669416e-12 -4.06524343e-01
   2.44264024e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.98127664e-01
   9.98127664e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  6.11650751e-02
   6.11650751e-02]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]]",[ 0.337448   -1.50959305  0.20034869  2.18378201 -2.19166158  1.51228678],0.0,[0.038 0.029 0.005 0.06  0.061],0.061,0.126,0.193
26312,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,3,1.5186891555786133,True,0.44299999999999995,"[[ 0.00000000e+00  2.96715074e-01  9.85326102e-01  1.54922376e-02
   5.29099246e-02]
 [ 1.00000000e+00  9.34112079e-01  1.70682374e-01 -8.94345780e-02
  -3.05441789e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.51797574e-01
  -2.41933549e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.85326102e-01
   9.85326102e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.70682374e-01
   1.70682374e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]]",[ 0.263732   -1.39927416  0.25476098  2.02466763 -2.01686324  1.40039772],0.0,[0.053 0.025 0.    0.052 0.052],0.052000000000000005,0.10400000000000001,0.182
26313,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,4,2.125286817550659,True,0.48200000000000004,"[[ 0.00000000e+00  3.85363568e-01  9.88269912e-01  3.05627302e-02
   4.73415042e-02]
 [ 1.00000000e+00  6.87950858e-01  1.52717321e-01 -1.97778657e-01
  -3.06358072e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.85905232e-01
   1.87441414e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.88269912e-01
   9.88269912e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.52717321e-01
   1.52717321e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  5.48470813e-18
   0.00000000e+00]]",[ 0.3660345  -1.41747906  0.00602944  1.79234054 -1.79838708  1.40958689],0.0,[0.033 0.025 0.119 0.041 0.041],0.11900000000000001,0.201,0.259
26314,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,5,2.1166150569915767,True,0.494,"[[ 0.00000000e+00  3.89464899e-01  9.93108224e-01  3.07816405e-02
   3.63317585e-02]
 [ 1.00000000e+00  9.61070846e-01  1.17200915e-01 -2.60829878e-01
  -3.07859100e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89669416e-12 -4.99419177e-01
  -1.66678052e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.93108224e-01
   9.93108224e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.17200915e-01
   1.17200915e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  1.57042578e-18
   2.33103467e-18]]",[ 0.40827015 -1.45332543  0.29380172  1.66564967 -1.66027293  1.44932161],0.0,[0.026 0.027 0.004 0.035 0.035],0.035,0.07400000000000001,0.127
26315,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,6,1.5190579891204834,True,0.499,"[[ 0.00000000e+00  5.06664712e-01  9.99940702e-01 -3.72652176e-03
  -3.37584312e-03]
 [ 1.00000000e+00  8.91611504e-01 -1.08900516e-02 -3.42174758e-01
  -3.09974925e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.96924973e-01
   2.03699762e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99940702e-01
   9.99940702e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.08900516e-02
  -1.08900516e-02]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  1.15636081e-19
   0.00000000e+00]]",[ 0.50634403 -1.58168659  0.28207624  1.50634824 -1.51291924  1.58471589],0.0,[0.013 0.032 0.002 0.029 0.029],0.028999999999999998,0.06,0.105
26316,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,7,2.1332378387451167,True,0.486,"[[ 0.00000000e+00  4.47699090e-01  9.98292400e-01  2.47950736e-02
   1.81082302e-02]
 [ 1.00000000e+00  6.48392445e-01  5.84147541e-02 -4.23741123e-01
  -3.09464773e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.84810285e-01
   1.90955462e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.98292400e-01
   9.98292400e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.84147541e-02
   5.84147541e-02]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]]",[ 0.44589333 -1.5123483   0.00613302  1.33980396 -1.34596385  1.50293022],0.0,[0.021 0.029 0.119 0.023 0.023],0.11900000000000001,0.16499999999999998,0.215
26317,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,8,2.3254320621490483,True,0.45,"[[ 0.00000000e+00  5.71975977e-01  9.91675994e-01 -6.69319937e-02
  -3.99143479e-02]
 [ 1.00000000e+00  8.95304710e-01 -1.28758387e-01 -5.15499248e-01
  -3.07413767e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.51936856e-01
   1.90285117e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.91675994e-01
   9.91675994e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.28758387e-01
  -1.28758387e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  1.07625011e-17
   0.00000000e+00]]",[ 0.58790177 -1.69991317  0.34649889  1.13772094 -1.14385921  1.7022869 ],0.0,[0.006 0.037 0.019 0.016 0.017],0.019,0.052000000000000005,0.095
26318,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,9,1.8353731632232664,True,0.447,"[[ 0.00000000e+00  6.84207481e-01  9.76670935e-01 -1.09889650e-01
  -6.65671234e-02]
 [ 1.00000000e+00  9.68371585e-01 -2.14741435e-01 -4.99791887e-01
  -3.02755613e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.60296057e-01
  -2.80303469e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.76670935e-01
   9.76670935e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.14741435e-01
  -2.14741435e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  2.07903578e-17
   0.00000000e+00]]",[ 0.70109034 -1.78722341  0.47770808  1.15547333 -1.14643116  1.78710473],0.0,[0.001 0.04  0.104 0.017 0.017],0.10400000000000001,0.138,0.179
26319,_roll_z_0_1_pris_y_0_5_pitch_z_0_5_pitch_y_0_3,10,2.3204820156097408,True,0.413,"[[ 0.00000000e+00  6.82743597e-01  9.19898712e-01 -2.07487895e-01
  -1.21565125e-01]
 [ 1.00000000e+00  4.61255080e-01 -3.92156041e-01 -4.86714031e-01
  -2.85160982e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -4.47170989e-01
   2.26604337e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.19898712e-01
   9.19898712e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.92156041e-01
  -3.92156041e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  -2.16840434e-17]]",[ 0.67788117 -1.97377053  0.07704998  1.11719329 -1.12450317  1.96770949],0.0,[0.001 0.049 0.06  0.016 0.016],0.06,0.092,0.14200000000000002
26590,_roll_z_0_1_pris_y_0_5_pitch_z_0_7_pitch_y_0_1,1,3.0274629592895512,True,0.507,"[[ 0.00000000e+00  3.14832921e-02  7.38612316e-01 -1.64320757e-02
   7.41525642e-02]
 [ 1.00000000e+00  9.83437051e-01  6.74130438e-01  1.80038355e-02
  -8.12454001e-02]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -6.86218797e-01
   7.63016557e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  7.38612316e-01
   7.38612316e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  6.74130438e-01
   6.74130438e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  1.12137963e-17
  -2.01227923e-16]]",[ 0.05340639 -0.83100955  0.09015487  1.76395606 -1.77089263  0.84076972],0.0,[0.108 0.009 0.051 0.039 0.04 ],0.051,0.13,0.247
26591,_roll_z_0_1_pris_y_0_5_pitch_z_0_7_pitch_y_0_1,2,1.7294771671295166,True,0.645,"[[ 0.00000000e+00  4.00729158e-01  9.29227479e-01  7.89098760e-03
   4.06440097e-02]
 [ 1.00000000e+00  8.68549100e-01  3.69508175e-01 -1.98440062e-02
  -1.02210271e-01]
 [ 0.00000000e+00  0.00000000e+00  4.89663865e-12 -6.93304538e-01
   1.06066676e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.29227479e-01
   9.29227479e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.69508175e-01
   3.69508175e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00 -6.06023658e-18
  -8.67361738e-19]]",[ 0.38620954 -1.19231665  0.04400699  1.69776506 -1.70740764  1.20215101],0.0,[0.029 0.018 0.085 0.037 0.037],0.085,0.159,0.206
